bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,ppnr_amount,total_loan_losses_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,total_observed_losses_amount,provision_amount,pretax_net_income_amount,implied_pretax_from_components,pretax_identity_gap
3587146,The Bank of New York Mellon Corporation,2014,2,Supervisory Adverse,19.4,0.9,0.1,0.7,0.9,2.6,1.1,16.6,16.599999999999998,3.552713678800501e-15
3587146,The Bank of New York Mellon Corporation,2014,3,Supervisory Severely Adverse,11.8,1.4,0.2,0.9,1.7,4.2,1.7,7.2,7.300000000000002,-0.10000000000000142
2380443,"The Goldman Sachs Group, Inc.",2014,2,Supervisory Adverse,19,1.4,0,9.9,3.4,14.700000000000001,1.7,4.1,4,0.09999999999999964
2380443,"The Goldman Sachs Group, Inc.",2014,3,Supervisory Severely Adverse,2.4,2.2,0,17,6.8,26,2.8,-24.1,-24.2,0.09999999999999787
1069778,"The PNC Financial Services Group, Inc.",2014,2,Supervisory Adverse,15.8,6.1,0.2,0,0.3,6.6,6,9.3,9.3,0
1069778,"The PNC Financial Services Group, Inc.",2014,3,Supervisory Severely Adverse,11.5,9.6,0.5,0,0.4,10.5,10.8,-0.2,-0.20000000000000073,7.216449660063518e-16
1119794,U.S. Bancorp,2014,2,Supervisory Adverse,27.1,10.8,0,0,0,10.8,11.3,15.8,15.8,0
1119794,U.S. Bancorp,2014,3,Supervisory Severely Adverse,22.8,16.2,0.1,0,0,16.3,18.1,4.7,4.6,0.10000000000000053
1120754,Wells Fargo & Company,2014,2,Supervisory Adverse,66.5,32,2.1,4,1.7,39.800000000000004,33.2,25.5,25.499999999999996,3.552713678800501e-15
1120754,Wells Fargo & Company,2014,3,Supervisory Severely Adverse,42.7,48.8,5,7.3,3.2,64.3,56.4,-29.3,-29.199999999999996,-0.10000000000000497
1027004,Zions Bancorporation,2014,2,Supervisory Adverse,1.5,1.6,0.1,0,0,1.7000000000000002,1.6,-0.2,-0.2000000000000001,8.326672684688674e-17
1027004,Zions Bancorporation,2014,3,Supervisory Severely Adverse,0.6,2.6,0.4,0,0,3,3,-2.9,-2.8,-0.10000000000000009
NA,33 participating bank holding companies,2015,2,Supervisory Adverse,474.8,252,5.2,52.6,14.4,324.2,262.6,141.6,140,1.5999999999999943
NA,33 participating bank holding companies,2015,3,Supervisory Severely Adverse,383.6,384.9,11.3,113,17.3,526.5,438.6,-195,-196.60000000000002,1.6000000000000227
1562859,Ally Financial Inc.,2015,2,Supervisory Adverse,5.4,4.1,0.3,0,0,4.3999999999999995,4.9,0.1,0.2,-0.1
1562859,Ally Financial Inc.,2015,3,Supervisory Severely Adverse,4.8,6.1,0.5,0,0,6.6,7.4,-3.2,-3.1000000000000005,-0.09999999999999964
1275216,American Express Company,2015,2,Supervisory Adverse,20.1,8.1,0,0,0.2,8.299999999999999,10.4,10.8,9.500000000000002,1.299999999999999
1275216,American Express Company,2015,3,Supervisory Severely Adverse,19.2,10.6,0,0,0.4,11,13.9,6.2,4.899999999999999,1.3000000000000016
1074156,BB&T Corporation,2015,2,Supervisory Adverse,8.6,4.5,0,0,0,4.5,5,3.6,3.5999999999999996,4.440892098500626e-16
1074156,BB&T Corporation,2015,3,Supervisory Severely Adverse,7,7.7,0,0,0,7.7,9.1,-2.2,-2.0999999999999996,-0.10000000000000053
1078529,"BBVA Compass Bancshares, Inc.",2015,2,Supervisory Adverse,1.6,2,0,0,0,2,2,-0.4,-0.3999999999999999,-1.1102230246251565e-16
1078529,"BBVA Compass Bancshares, Inc.",2015,3,Supervisory Severely Adverse,1.1,3.4,0,0,0,3.4,3.8,-2.8,-2.6999999999999997,-0.10000000000000009
1245415,BMO Financial Corp.,2015,2,Supervisory Adverse,1.5,2.6,0,0,0,2.6,3,-1.4,-1.5,0.10000000000000009
1245415,BMO Financial Corp.,2015,3,Supervisory Severely Adverse,0.9,4,0,0,0,4,4.9,-3.9,-4,0.10000000000000009
1025608,BancWest Corporation,2015,2,Supervisory Adverse,3,2.7,0,0,0,2.7,3.1,-0.1,-0.10000000000000009,8.326672684688674e-17
1025608,BancWest Corporation,2015,3,Supervisory Severely Adverse,2.7,4.5,0,0,0,4.5,5.5,-2.8,-2.8,0
1073757,Bank of America Corporation,2015,2,Supervisory Adverse,61.8,35.8,0.3,7.8,1.8,45.69999999999999,35.3,16.6,16.599999999999998,3.552713678800501e-15
1073757,Bank of America Corporation,2015,3,Supervisory Severely Adverse,45.7,53.7,0.7,20,2.2,76.60000000000001,59.2,-36.3,-36.400000000000006,0.10000000000000853
