bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,ppnr_loss_absorption_ratio,rwa_growth_rate,stress_rank
1378434,MUFG Americas Holdings Corporation,2020,3,Supervisory Severely Adverse,14.5,10.9,3.5999999999999996,5.4,1.4,0.25,-0.00867052023121379,159
5280254,RBC US Group Holdings LLC,2019,3,Supervisory Severely Adverse,17.2,13.6,3.5999999999999996,3.2,1.6,0.4571428571428572,-0.02523240371845938,160
1027004,Zions Bancorporation,2016,3,Supervisory Severely Adverse,12.1,8.5,3.5999999999999996,2.9,1.7,0.5862068965517241,0.09018036072144288,161
5280254,RBC US Group Holdings LLC,2020,3,Supervisory Severely Adverse,16.1,12.6,3.5000000000000018,3.9,1.9,0.4634146341463415,-0.01800720288115246,162
1073757,Bank of America Corporation,2015,3,Supervisory Severely Adverse,11.6,8.1,3.5,53.7,45.7,0.5966057441253263,0.08501389581700275,163
1951350,Citigroup Inc.,2016,2,Supervisory Adverse,14.9,11.4,3.5,32.7,63.3,1.551470588235294,0.12208115067033652,164
5280254,RBC US Group Holdings LLC,2025,3,Supervisory Severely Adverse,17.2,13.7,3.5,6.4,4.4,0.6197183098591549,-0.03391107761868877,165
1037003,M&T Bank Corporation,2017,3,Supervisory Severely Adverse,11,7.5,3.5,6,5.4,0.9,0.04222451081359432,166
5006575,Barclays US LLC,2017,3,Supervisory Severely Adverse,13.1,9.6,3.5,4,5.4,1.018867924528302,0.04435483870967733,167
1378434,MUFG Americas Holdings Corporation,2015,3,Supervisory Severely Adverse,13.6,10.1,3.5,3.4,1.2,0.3076923076923077,0.1529535864978903,168
1132449,"Citizens Financial Group, Inc.",2016,3,Supervisory Severely Adverse,11.2,7.7,3.499999999999999,5.4,3.2,0.5818181818181819,0.07748184019370455,169
1039502,JPMorgan Chase & Co.,2016,3,Supervisory Severely Adverse,12.5,9.1,3.4000000000000004,54,66.5,0.8322903629536922,0.0895563139931741,170
1037003,M&T Bank Corporation,2022,3,Supervisory Severely Adverse,10.4,7,3.4000000000000004,9.3,4.9,0.5268817204301075,-0.00402684563758385,171
3606542,TD Group US Holdings LLC,2018,3,Supervisory Severely Adverse,16.3,12.9,3.4000000000000004,8.7,6.9,0.7752808988764046,0.02456647398843928,172
1074156,BB&T Corporation,2015,3,Supervisory Severely Adverse,10.3,6.9,3.4000000000000004,7.7,7,0.9090909090909092,0.13025210084033623,173
1245415,BMO Financial Corp.,2021,3,Supervisory Severely Adverse,13.5,10.1,3.4000000000000004,6.2,2.9,0.46774193548387094,7.518796992480775e-4,174
1378434,MUFG Americas Holdings Corporation,2020,3,Supervisory Severely Adverse,15.3,11.9,3.4000000000000004,5.2,1.7,0.32075471698113206,-0.00772200772200769,175
5280254,RBC US Group Holdings LLC,2021,3,Supervisory Severely Adverse,14,10.6,3.4000000000000004,4.5,2.4,0.48979591836734687,-0.01907356948228877,176
5280254,RBC US Group Holdings LLC,2020,3,Supervisory Severely Adverse,15.8,12.4,3.4000000000000004,3.7,1.8,0.4390243902439024,-0.01565995525727075,177
